state,division,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price,arrivals_in_tonnes,capacity_tonnes,active_traders,source
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Rahuri Krishi Mandi,Cotton,Medium Staple,2026-06-16,5908.01,7054.69,6485.37,150.2,4800,82,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Rahuri Krishi Mandi,Tur,White/Deshi,2026-06-16,7790.85,9592.84,8800.0,237.7,4800,82,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Rahuri Krishi Mandi,Wheat,Lokwan,2026-06-16,2226.49,2714.88,2522.56,165.8,4800,82,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Rahuri Krishi Mandi,Maize,Yellow,2026-06-16,1787.39,2188.09,2029.25,210.8,4800,82,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Rahuri Krishi Mandi,Chana,Deshi Gram,2026-06-16,5083.54,6087.37,5589.98,153.6,4800,82,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Rahuri Krishi Mandi,Banana,Grand Naine,2026-06-16,1407.21,1687.38,1581.44,196.3,4800,82,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Sangamner Mandi,Onion,Red/Nashik,2026-06-16,1860.52,2228.53,1996.72,164.5,3400,54,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Sangamner Mandi,Tomato,Hybrid,2026-06-16,1596.23,1931.7,1766.46,210.2,3400,54,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Sangamner Mandi,Soybean,Yellow,2026-06-16,4077.0,4750.84,4363.59,78.9,3400,54,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Sangamner Mandi,Cotton,Medium Staple,2026-06-16,5930.25,7127.98,6557.96,235.2,3400,54,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Sangamner Mandi,Tur,White/Deshi,2026-06-16,8107.65,10130.62,9009.76,135.7,3400,54,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Sangamner Mandi,Wheat,Lokwan,2026-06-16,2364.96,2750.75,2541.85,154.6,3400,54,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Sangamner Mandi,Maize,Yellow,2026-06-16,1880.79,2322.73,2074.69,15.0,3400,54,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Sangamner Mandi,Chana,Deshi Gram,2026-06-16,5245.81,6534.09,5720.16,142.7,3400,54,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Sangamner Mandi,Banana,Grand Naine,2026-06-16,1476.61,1779.54,1642.65,116.1,3400,54,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Shrirampur Yard,Onion,Red/Nashik,2026-06-16,1828.77,2216.66,2035.0,170.7,3700,60,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Shrirampur Yard,Tomato,Hybrid,2026-06-16,1644.66,2055.98,1813.64,227.5,3700,60,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Shrirampur Yard,Soybean,Yellow,2026-06-16,4064.65,4692.75,4408.91,159.0,3700,60,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Shrirampur Yard,Cotton,Medium Staple,2026-06-16,6076.4,7520.74,6664.13,153.6,3700,60,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Shrirampur Yard,Tur,White/Deshi,2026-06-16,8124.56,9784.15,8901.48,93.3,3700,60,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Shrirampur Yard,Wheat,Lokwan,2026-06-16,2372.86,2841.83,2603.09,91.1,3700,60,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Shrirampur Yard,Maize,Yellow,2026-06-16,1918.88,2271.3,2126.05,137.4,3700,60,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Shrirampur Yard,Chana,Deshi Gram,2026-06-16,5108.54,6526.92,5754.5,80.5,3700,60,Agmarknet & MSAMB
Maharashtra,Nashik Division (North Maharashtra/Khandesh),Ahmednagar,Shrirampur Yard,Banana,Grand Naine,2026-06-16,1431.56,1720.88,1524.04,182.1,3700,60,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Akola,Akola Cotton & Grain APMC,Onion,Red/Nashik,2026-06-16,1859.37,2275.21,1985.6,204.1,6800,118,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Akola,Akola Cotton & Grain APMC,Tomato,Hybrid,2026-06-16,1734.17,2095.53,1878.11,186.9,6800,118,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Akola,Akola Cotton & Grain APMC,Soybean,Yellow,2026-06-16,3949.28,4663.35,4348.85,242.6,6800,118,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Akola,Akola Cotton & Grain APMC,Cotton,Medium Staple,2026-06-16,6064.47,7262.14,6585.65,255.4,6800,118,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Akola,Akola Cotton & Grain APMC,Tur,White/Deshi,2026-06-16,8309.87,9661.39,8874.96,215.6,6800,118,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Akola,Akola Cotton & Grain APMC,Wheat,Lokwan,2026-06-16,2408.88,2782.7,2590.26,210.4,6800,118,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Akola,Akola Cotton & Grain APMC,Maize,Yellow,2026-06-16,1900.6,2261.35,2062.37,208.2,6800,118,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Akola,Akola Cotton & Grain APMC,Chana,Deshi Gram,2026-06-16,5268.17,6471.04,5672.76,197.2,6800,118,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Akola,Akola Cotton & Grain APMC,Banana,Grand Naine,2026-06-16,1488.13,1828.03,1650.21,128.4,6800,118,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Amravati,Achalpur Mandi,Onion,Red/Nashik,2026-06-16,1797.31,2128.66,2004.03,137.1,3200,52,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Amravati,Achalpur Mandi,Tomato,Hybrid,2026-06-16,1626.75,1911.61,1735.8,201.4,3200,52,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Amravati,Achalpur Mandi,Soybean,Yellow,2026-06-16,3941.31,4553.38,4250.93,154.3,3200,52,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Amravati,Achalpur Mandi,Cotton,Medium Staple,2026-06-16,5770.44,7185.47,6397.81,183.5,3200,52,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Amravati,Achalpur Mandi,Tur,White/Deshi,2026-06-16,7649.76,9597.86,8506.86,156.6,3200,52,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Amravati,Achalpur Mandi,Wheat,Lokwan,2026-06-16,2196.21,2684.9,2485.7,263.4,3200,52,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Amravati,Achalpur Mandi,Maize,Yellow,2026-06-16,1850.05,2192.78,1996.45,205.4,3200,52,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Amravati,Achalpur Mandi,Chana,Deshi Gram,2026-06-16,5077.81,6036.26,5523.12,192.0,3200,52,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Amravati,Achalpur Mandi,Banana,Grand Naine,2026-06-16,1351.76,1615.79,1460.68,258.4,3200,52,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Amravati,Amravati Cotton Yard,Onion,Red/Nashik,2026-06-16,1825.22,2203.82,1995.62,252.7,7200,128,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Amravati,Amravati Cotton Yard,Tomato,Hybrid,2026-06-16,1648.58,1885.78,1758.69,238.5,7200,128,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Amravati,Amravati Cotton Yard,Soybean,Yellow,2026-06-16,3847.12,4586.72,4255.2,115.9,7200,128,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Amravati,Amravati Cotton Yard,Cotton,Medium Staple,2026-06-16,5666.26,6730.01,6339.77,162.1,7200,128,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Amravati,Amravati Cotton Yard,Tur,White/Deshi,2026-06-16,8110.2,9524.93,8657.98,116.2,7200,128,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Amravati,Amravati Cotton Yard,Wheat,Lokwan,2026-06-16,2233.62,2693.48,2505.28,166.7,7200,128,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Amravati,Amravati Cotton Yard,Maize,Yellow,2026-06-16,1902.14,2310.75,2066.37,209.8,7200,128,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Amravati,Amravati Cotton Yard,Chana,Deshi Gram,2026-06-16,5052.11,5996.02,5652.64,216.8,7200,128,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Amravati,Amravati Cotton Yard,Banana,Grand Naine,2026-06-16,1392.16,1663.93,1505.27,155.1,7200,128,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Beed,Ambejogai Yard,Onion,Red/Nashik,2026-06-16,1896.14,2291.45,2062.24,200.6,3400,54,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Beed,Ambejogai Yard,Tomato,Hybrid,2026-06-16,1618.6,1985.3,1792.16,144.4,3400,54,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Beed,Ambejogai Yard,Soybean,Yellow,2026-06-16,3898.79,4739.63,4258.03,123.2,3400,54,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Beed,Ambejogai Yard,Cotton,Medium Staple,2026-06-16,5748.99,6920.95,6505.82,115.4,3400,54,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Beed,Ambejogai Yard,Tur,White/Deshi,2026-06-16,7788.73,9418.35,8829.7,198.9,3400,54,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Beed,Ambejogai Yard,Wheat,Lokwan,2026-06-16,2314.45,2736.59,2548.32,135.6,3400,54,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Beed,Ambejogai Yard,Maize,Yellow,2026-06-16,1886.03,2244.77,2068.03,166.8,3400,54,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Beed,Ambejogai Yard,Chana,Deshi Gram,2026-06-16,5041.64,6278.72,5636.46,190.3,3400,54,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Beed,Ambejogai Yard,Banana,Grand Naine,2026-06-16,1396.27,1665.62,1546.59,169.1,3400,54,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Beed,Beed Mandi,Onion,Red/Nashik,2026-06-16,1935.26,2274.39,2105.56,203.7,4900,80,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Beed,Beed Mandi,Tomato,Hybrid,2026-06-16,1641.41,2077.91,1824.45,76.2,4900,80,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Beed,Beed Mandi,Soybean,Yellow,2026-06-16,3927.68,4666.24,4220.96,173.0,4900,80,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Beed,Beed Mandi,Cotton,Medium Staple,2026-06-16,6213.54,7553.8,6621.3,218.8,4900,80,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Beed,Beed Mandi,Tur,White/Deshi,2026-06-16,8143.61,9674.85,8834.93,169.0,4900,80,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Beed,Beed Mandi,Wheat,Lokwan,2026-06-16,2267.15,2804.34,2561.37,184.8,4900,80,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Beed,Beed Mandi,Maize,Yellow,2026-06-16,1845.08,2277.95,2065.94,252.5,4900,80,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Beed,Beed Mandi,Chana,Deshi Gram,2026-06-16,5217.23,6398.07,5601.87,201.3,4900,80,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Beed,Beed Mandi,Banana,Grand Naine,2026-06-16,1331.14,1600.77,1485.25,185.2,4900,80,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Beed,Majalgaon APMC,Onion,Red/Nashik,2026-06-16,1752.47,2196.0,1948.22,219.4,3100,50,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Beed,Majalgaon APMC,Tomato,Hybrid,2026-06-16,1628.97,1872.52,1744.09,192.7,3100,50,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Beed,Majalgaon APMC,Soybean,Yellow,2026-06-16,3835.93,4724.06,4234.68,199.1,3100,50,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Beed,Majalgaon APMC,Cotton,Medium Staple,2026-06-16,5911.84,7330.81,6447.59,156.4,3100,50,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Beed,Majalgaon APMC,Tur,White/Deshi,2026-06-16,8041.53,9449.11,8761.59,209.4,3100,50,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Beed,Majalgaon APMC,Wheat,Lokwan,2026-06-16,2298.89,2789.74,2531.28,162.7,3100,50,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Beed,Majalgaon APMC,Maize,Yellow,2026-06-16,1792.42,2219.03,2028.68,100.9,3100,50,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Beed,Majalgaon APMC,Chana,Deshi Gram,2026-06-16,5099.94,6326.17,5559.23,164.5,3100,50,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Beed,Majalgaon APMC,Banana,Grand Naine,2026-06-16,1372.58,1743.51,1527.15,161.7,3100,50,Agmarknet & MSAMB
Maharashtra,Nagpur Division (Eastern Vidarbha),Bhandara,Tumsar Rice Yard,Onion,Red/Nashik,2026-06-16,1787.98,2229.89,2014.35,234.4,5100,88,Agmarknet & MSAMB
Maharashtra,Nagpur Division (Eastern Vidarbha),Bhandara,Tumsar Rice Yard,Tomato,Hybrid,2026-06-16,1597.79,2029.35,1776.1,213.2,5100,88,Agmarknet & MSAMB
Maharashtra,Nagpur Division (Eastern Vidarbha),Bhandara,Tumsar Rice Yard,Soybean,Yellow,2026-06-16,3893.23,4876.45,4305.62,278.0,5100,88,Agmarknet & MSAMB
Maharashtra,Nagpur Division (Eastern Vidarbha),Bhandara,Tumsar Rice Yard,Cotton,Medium Staple,2026-06-16,5904.27,7163.86,6679.95,120.1,5100,88,Agmarknet & MSAMB
Maharashtra,Nagpur Division (Eastern Vidarbha),Bhandara,Tumsar Rice Yard,Tur,White/Deshi,2026-06-16,8140.93,10034.27,8761.96,178.8,5100,88,Agmarknet & MSAMB
Maharashtra,Nagpur Division (Eastern Vidarbha),Bhandara,Tumsar Rice Yard,Wheat,Lokwan,2026-06-16,2313.04,2723.25,2568.52,243.8,5100,88,Agmarknet & MSAMB
Maharashtra,Nagpur Division (Eastern Vidarbha),Bhandara,Tumsar Rice Yard,Maize,Yellow,2026-06-16,1857.65,2221.81,2091.24,130.2,5100,88,Agmarknet & MSAMB
Maharashtra,Nagpur Division (Eastern Vidarbha),Bhandara,Tumsar Rice Yard,Chana,Deshi Gram,2026-06-16,5387.56,6141.54,5742.02,153.3,5100,88,Agmarknet & MSAMB
Maharashtra,Nagpur Division (Eastern Vidarbha),Bhandara,Tumsar Rice Yard,Banana,Grand Naine,2026-06-16,1412.51,1740.73,1595.25,190.7,5100,88,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Buldhana,Khamgaon APMC (Cotton Hub),Onion,Red/Nashik,2026-06-16,1839.19,2150.21,1975.35,104.3,6100,102,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Buldhana,Khamgaon APMC (Cotton Hub),Tomato,Hybrid,2026-06-16,1654.55,2055.73,1792.54,201.7,6100,102,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Buldhana,Khamgaon APMC (Cotton Hub),Soybean,Yellow,2026-06-16,3837.54,4814.23,4252.96,215.6,6100,102,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Buldhana,Khamgaon APMC (Cotton Hub),Cotton,Medium Staple,2026-06-16,6125.85,7163.91,6564.57,180.5,6100,102,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Buldhana,Khamgaon APMC (Cotton Hub),Tur,White/Deshi,2026-06-16,7944.95,9710.43,8844.18,168.2,6100,102,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Buldhana,Khamgaon APMC (Cotton Hub),Wheat,Lokwan,2026-06-16,2251.75,2836.84,2557.68,260.5,6100,102,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Buldhana,Khamgaon APMC (Cotton Hub),Maize,Yellow,2026-06-16,1845.84,2308.48,2069.48,250.9,6100,102,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Buldhana,Khamgaon APMC (Cotton Hub),Chana,Deshi Gram,2026-06-16,4918.04,6017.57,5545.02,141.8,6100,102,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Buldhana,Khamgaon APMC (Cotton Hub),Banana,Grand Naine,2026-06-16,1334.23,1582.87,1478.43,254.9,6100,102,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Buldhana,Malkapur Mandi,Onion,Red/Nashik,2026-06-16,1877.28,2251.21,2005.28,117.7,3600,60,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Buldhana,Malkapur Mandi,Tomato,Hybrid,2026-06-16,1569.26,1917.32,1772.81,194.7,3600,60,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Buldhana,Malkapur Mandi,Soybean,Yellow,2026-06-16,3824.98,4855.06,4232.24,258.2,3600,60,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Buldhana,Malkapur Mandi,Cotton,Medium Staple,2026-06-16,5985.29,6978.47,6462.24,157.4,3600,60,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Buldhana,Malkapur Mandi,Tur,White/Deshi,2026-06-16,8033.44,9511.54,8697.58,238.1,3600,60,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Buldhana,Malkapur Mandi,Wheat,Lokwan,2026-06-16,2271.69,2725.76,2524.91,156.8,3600,60,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Buldhana,Malkapur Mandi,Maize,Yellow,2026-06-16,1871.11,2284.12,2029.99,267.8,3600,60,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Buldhana,Malkapur Mandi,Chana,Deshi Gram,2026-06-16,4950.6,6145.0,5533.29,180.9,3600,60,Agmarknet & MSAMB
Maharashtra,Amravati Division (Western Vidarbha),Buldhana,Malkapur Mandi,Banana,Grand Naine,2026-06-16,1363.22,1597.57,1453.56,175.5,3600,60,Agmarknet & MSAMB
Maharashtra,Nagpur Division (Eastern Vidarbha),Chandrapur,Chandrapur APMC,Onion,Red/Nashik,2026-06-16,1925.35,2238.0,2104.9,168.2,4900,84,Agmarknet & MSAMB
Maharashtra,Nagpur Division (Eastern Vidarbha),Chandrapur,Chandrapur APMC,Tomato,Hybrid,2026-06-16,1677.87,2074.78,1855.71,140.0,4900,84,Agmarknet & MSAMB
Maharashtra,Nagpur Division (Eastern Vidarbha),Chandrapur,Chandrapur APMC,Soybean,Yellow,2026-06-16,4169.22,5100.55,4448.19,200.0,4900,84,Agmarknet & MSAMB
Maharashtra,Nagpur Division (Eastern Vidarbha),Chandrapur,Chandrapur APMC,Cotton,Medium Staple,2026-06-16,6471.17,7683.34,6961.05,183.5,4900,84,Agmarknet & MSAMB
Maharashtra,Nagpur Division (Eastern Vidarbha),Chandrapur,Chandrapur APMC,Tur,White/Deshi,2026-06-16,8367.79,10329.69,9333.61,244.1,4900,84,Agmarknet & MSAMB
Maharashtra,Nagpur Division (Eastern Vidarbha),Chandrapur,Chandrapur APMC,Wheat,Lokwan,2026-06-16,2470.67,3064.76,2701.81,93.8,4900,84,Agmarknet & MSAMB
Maharashtra,Nagpur Division (Eastern Vidarbha),Chandrapur,Chandrapur APMC,Maize,Yellow,2026-06-16,2068.37,2348.41,2202.31,116.6,4900,84,Agmarknet & MSAMB
Maharashtra,Nagpur Division (Eastern Vidarbha),Chandrapur,Chandrapur APMC,Chana,Deshi Gram,2026-06-16,5314.32,6665.18,5935.84,84.7,4900,84,Agmarknet & MSAMB
Maharashtra,Nagpur Division (Eastern Vidarbha),Chandrapur,Chandrapur APMC,Banana,Grand Naine,2026-06-16,1416.65,1764.06,1608.86,164.0,4900,84,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Chhatrapati Sambhajinagar,Jadhavwadi APMC,Onion,Red/Nashik,2026-06-16,2003.35,2294.75,2139.87,257.5,6200,105,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Chhatrapati Sambhajinagar,Jadhavwadi APMC,Tomato,Hybrid,2026-06-16,1807.88,2234.76,1999.69,302.0,6200,105,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Chhatrapati Sambhajinagar,Jadhavwadi APMC,Soybean,Yellow,2026-06-16,4152.23,4986.6,4620.45,85.0,6200,105,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Chhatrapati Sambhajinagar,Jadhavwadi APMC,Cotton,Medium Staple,2026-06-16,6407.41,7853.43,7213.2,229.7,6200,105,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Chhatrapati Sambhajinagar,Jadhavwadi APMC,Tur,White/Deshi,2026-06-16,8811.83,10469.77,9561.81,211.5,6200,105,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Chhatrapati Sambhajinagar,Jadhavwadi APMC,Wheat,Lokwan,2026-06-16,2516.36,2979.24,2729.13,223.9,6200,105,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Chhatrapati Sambhajinagar,Jadhavwadi APMC,Maize,Yellow,2026-06-16,1963.75,2524.95,2220.4,239.9,6200,105,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Chhatrapati Sambhajinagar,Jadhavwadi APMC,Chana,Deshi Gram,2026-06-16,5391.19,6415.05,6023.88,248.2,6200,105,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Chhatrapati Sambhajinagar,Jadhavwadi APMC,Banana,Grand Naine,2026-06-16,1505.24,1824.67,1685.4,118.1,6200,105,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Chhatrapati Sambhajinagar,Paithan Mandi,Onion,Red/Nashik,2026-06-16,1909.69,2325.07,2041.4,163.9,2700,42,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Chhatrapati Sambhajinagar,Paithan Mandi,Tomato,Hybrid,2026-06-16,1678.45,1933.81,1806.99,178.9,2700,42,Agmarknet & MSAMB
Maharashtra,Chhatrapati Sambhajinagar Division (Marathwada),Chhatrapati Sambhajinagar,Paithan Mandi,Soybean,Yellow,2026-06-16,4000.45,4890.32,4448.98,192.8,2700,42,Agmarknet & MSAMB
